{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999937, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m0.txt', 'xsmm_reference_avg': 5.738, 'xsmm_reference_best': 5.738, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 125, 'a_nonzero': 750, 'a_rows': 150, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999964, 'density': 0.04, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m0.txt', 'xsmm_reference_avg': 60.903, 'xsmm_reference_best': 60.903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99992, 'density': 0.04, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m3.txt', 'xsmm_reference_avg': 72.211, 'xsmm_reference_best': 72.211, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999962, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m6.txt', 'xsmm_reference_avg': 119.212, 'xsmm_reference_best': 119.212, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1800, 'a_rows': 125, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999837, 'density': 0.0384, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m132.txt', 'xsmm_reference_avg': 149.389, 'xsmm_reference_best': 149.389, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1800, 'a_rows': 375, 'a_size': 46875, 'a_unique': 24, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999915, 'density': 0.0384, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre/m460.txt', 'xsmm_reference_avg': 130.781, 'xsmm_reference_best': 130.781, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 216, 'a_rows': 216, 'a_size': 46656, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.9999, 'density': 0.004629629629629629, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 85.697, 'xsmm_reference_best': 85.697, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999895, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 108.022, 'xsmm_reference_best': 108.022, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999897, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 200.997, 'xsmm_reference_best': 200.997, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999971, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m0.txt', 'xsmm_reference_avg': 105.375, 'xsmm_reference_best': 105.375, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 216, 'a_size': 46656, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999913, 'density': 0.027777777777777776, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m3.txt', 'xsmm_reference_avg': 108.74, 'xsmm_reference_best': 108.74, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 216, 'a_nonzero': 1296, 'a_rows': 648, 'a_size': 139968, 'a_unique': 12, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999899, 'density': 0.009259259259259259, 'mat_file': 'data/example_mats_small/hex/p5/gauss-legendre/m6.txt', 'xsmm_reference_avg': 201.369, 'xsmm_reference_best': 201.369, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 343, 'a_nonzero': 294, 'a_rows': 294, 'a_size': 100842, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999906, 'density': 0.0029154518950437317, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 119.415, 'xsmm_reference_best': 119.415, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 5, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999964, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 160.13300000000004, 'xsmm_reference_best': 160.13300000000004, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 10, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999865, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 315.88, 'xsmm_reference_best': 315.88, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 343, 'a_nonzero': 2058, 'a_rows': 294, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999899, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m0.txt', 'xsmm_reference_avg': 269.491, 'xsmm_reference_best': 269.491, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 343, 'a_size': 100842, 'a_unique': 7, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999908, 'density': 0.02040816326530612, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m3.txt', 'xsmm_reference_avg': 162.373, 'xsmm_reference_best': 162.373, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 294, 'a_nonzero': 2058, 'a_rows': 1029, 'a_size': 302526, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999847, 'density': 0.006802721088435374, 'mat_file': 'data/example_mats_small/hex/p6/gauss-legendre/m6.txt', 'xsmm_reference_avg': 313.017, 'xsmm_reference_best': 313.017, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999965, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m0.txt', 'xsmm_reference_avg': 1.942, 'xsmm_reference_best': 1.942, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999848, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m3.txt', 'xsmm_reference_avg': 1.412, 'xsmm_reference_best': 1.412, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 64, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999911, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m6.txt', 'xsmm_reference_avg': 2.237, 'xsmm_reference_best': 2.237, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 8, 'a_nonzero': 16, 'a_rows': 4, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999887, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m132.txt', 'xsmm_reference_avg': 1.448, 'xsmm_reference_best': 1.448, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 4, 'a_nonzero': 16, 'a_rows': 8, 'a_size': 32, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999908, 'density': 0.5, 'mat_file': 'data/example_mats_small/quad/p1/gauss-legendre/m460.txt', 'xsmm_reference_avg': 1.907, 'xsmm_reference_best': 1.907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 12, 'a_rows': 12, 'a_size': 108, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999905, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 2.941, 'xsmm_reference_best': 2.941, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999869, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 2.875, 'xsmm_reference_best': 2.875, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999895, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 4.653, 'xsmm_reference_best': 4.653, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999924, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 3.41, 'xsmm_reference_best': 3.41, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99991, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 4.341, 'xsmm_reference_best': 4.341, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 36, 'a_rows': 12, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999906, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m0.txt', 'xsmm_reference_avg': 3.125, 'xsmm_reference_best': 3.125, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 9, 'a_size': 108, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999912, 'density': 0.3333333333333333, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m3.txt', 'xsmm_reference_avg': 2.835, 'xsmm_reference_best': 2.835, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 12, 'a_nonzero': 36, 'a_rows': 18, 'a_size': 216, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999904, 'density': 0.16666666666666666, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m6.txt', 'xsmm_reference_avg': 4.379, 'xsmm_reference_best': 4.379, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 18, 'a_nonzero': 48, 'a_rows': 9, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999906, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m132.txt', 'xsmm_reference_avg': 3.448, 'xsmm_reference_best': 3.448, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 9, 'a_nonzero': 48, 'a_rows': 18, 'a_size': 162, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999912, 'density': 0.2962962962962963, 'mat_file': 'data/example_mats_small/quad/p2/gauss-legendre/m460.txt', 'xsmm_reference_avg': 4.504, 'xsmm_reference_best': 4.504, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 16, 'a_rows': 16, 'a_size': 256, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999953, 'density': 0.0625, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 4.094, 'xsmm_reference_best': 4.094, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999962, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 4.75, 'xsmm_reference_best': 4.75, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 32, 'a_size': 512, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999882, 'density': 0.125, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 7.916, 'xsmm_reference_best': 7.916, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 32, 'a_nonzero': 112, 'a_rows': 16, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999902, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 7.203, 'xsmm_reference_best': 7.203, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 16, 'a_nonzero': 112, 'a_rows': 32, 'a_size': 512, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999841, 'density': 0.21875, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 8.299, 'xsmm_reference_best': 8.299, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 16, 'a_nonzero': 64, 'a_rows': 16, 'a_size': 256, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999884, 'density': 0.25, 'mat_file': 'data/example_mats_small/quad/p3/gauss-legendre/m0.txt', 'xsmm_reference_avg': 5.021, 'xsmm_reference_best': 5.021, 'xsmm_reference_kernel_type': 'sparse'}
